LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CAN,INFRAINVEST,ROAD,EUR,A,2001,4394605899
CAN,INFRAINVEST,ROAD,EUR,A,2002,3983679525
CAN,INFRAINVEST,ROAD,EUR,A,2003,3936788875
CAN,INFRAINVEST,ROAD,EUR,A,2004,4173160173
CAN,INFRAINVEST,ROAD,EUR,A,2005,5493144333
CAN,INFRAINVEST,ROAD,EUR,A,2006,6777840191
CAN,INFRAINVEST,ROAD,EUR,A,2007,7804479543
CAN,INFRAINVEST,ROAD,EUR,A,2008,8752004104
CAN,INFRAINVEST,ROAD,EUR,A,2009,10890108504
CAN,INFRAINVEST,ROAD,EUR,A,2010,15378704720
CAN,INFRAINVEST,ROAD,EUR,A,2011,15066152951
CAN,INFRAINVEST,ROAD,EUR,A,2012,14756382316
CAN,INFRAINVEST,ROAD,EUR,A,2013,13086085940
CAN,INFRAINVEST,ROAD,EUR,A,2014,5108668220
CAN,INFRAINVEST,ROAD,EUR,A,2015,7214836462
CAN,INFRAINVEST,ROAD,EUR,A,2016,7042672778
CAN,INFRAINVEST,ROAD,EUR,A,2017,7481340454
CAN,INFRAINVEST,ROAD,EUR,A,2018,6431185466
CAN,INFRAINVEST,ROAD,EUR,A,2019,7543245608
CZE,INFRAINVEST,ROAD,EUR,A,1995,282514209.3
CZE,INFRAINVEST,ROAD,EUR,A,1996,305765051
CZE,INFRAINVEST,ROAD,EUR,A,1997,382031169.5
CZE,INFRAINVEST,ROAD,EUR,A,1998,374639290.1
CZE,INFRAINVEST,ROAD,EUR,A,1999,322285881.6
CZE,INFRAINVEST,ROAD,EUR,A,2000,308618742.9
CZE,INFRAINVEST,ROAD,EUR,A,2001,302459964.6
CZE,INFRAINVEST,ROAD,EUR,A,2002,518284866.8
CZE,INFRAINVEST,ROAD,EUR,A,2003,625637901.3
CZE,INFRAINVEST,ROAD,EUR,A,2004,1031226395
CZE,INFRAINVEST,ROAD,EUR,A,2005,1414691140
CZE,INFRAINVEST,ROAD,EUR,A,2006,1491555568
CZE,INFRAINVEST,ROAD,EUR,A,2007,1493648724
CZE,INFRAINVEST,ROAD,EUR,A,2008,2041828599
CZE,INFRAINVEST,ROAD,EUR,A,2009,1985424195
CZE,INFRAINVEST,ROAD,EUR,A,2010,1719545029
CZE,INFRAINVEST,ROAD,EUR,A,2011,1293210027
CZE,INFRAINVEST,ROAD,EUR,A,2012,876329247.8
CZE,INFRAINVEST,ROAD,EUR,A,2013,647511082.4
CZE,INFRAINVEST,ROAD,EUR,A,2014,604013684
CZE,INFRAINVEST,ROAD,EUR,A,2015,885358255.5
CZE,INFRAINVEST,ROAD,EUR,A,2016,849231713.9
CZE,INFRAINVEST,ROAD,EUR,A,2017,984191254.7
CZE,INFRAINVEST,ROAD,EUR,A,2018,1044764479
CZE,INFRAINVEST,ROAD,EUR,A,2019,1383064925
CZE,INFRAINVEST,ROAD,EUR,A,2020,1640906428
CZE,INFRAINVEST,ROAD,EUR,A,2021,1817146779
DNK,INFRAINVEST,ROAD,EUR,A,1995,351844522.4
DNK,INFRAINVEST,ROAD,EUR,A,1996,403679447.8
DNK,INFRAINVEST,ROAD,EUR,A,1997,399577703.8
DNK,INFRAINVEST,ROAD,EUR,A,1998,387743673.2
DNK,INFRAINVEST,ROAD,EUR,A,1999,419468502.9
DNK,INFRAINVEST,ROAD,EUR,A,2000,454533258.2
DNK,INFRAINVEST,ROAD,EUR,A,2001,497034432.8
DNK,INFRAINVEST,ROAD,EUR,A,2002,399165601.2
DNK,INFRAINVEST,ROAD,EUR,A,2003,586620372.2
DNK,INFRAINVEST,ROAD,EUR,A,2004,727832363.3
DNK,INFRAINVEST,ROAD,EUR,A,2005,927707771.4
DNK,INFRAINVEST,ROAD,EUR,A,2006,1190760279
DNK,INFRAINVEST,ROAD,EUR,A,2007,1028882805
DNK,INFRAINVEST,ROAD,EUR,A,2008,935622317.6
DNK,INFRAINVEST,ROAD,EUR,A,2009,713777312.2
DNK,INFRAINVEST,ROAD,EUR,A,2010,936593619.1
DNK,INFRAINVEST,ROAD,EUR,A,2011,1051981693
DNK,INFRAINVEST,ROAD,EUR,A,2012,1323651898
DNK,INFRAINVEST,ROAD,EUR,A,2013,1046943510
DNK,INFRAINVEST,ROAD,EUR,A,2014,1101557365
DNK,INFRAINVEST,ROAD,EUR,A,2015,1086396911
DNK,INFRAINVEST,ROAD,EUR,A,2016,1099470814
DNK,INFRAINVEST,ROAD,EUR,A,2017,1065643190
DNK,INFRAINVEST,ROAD,EUR,A,2018,1083963935
FIN,INFRAINVEST,ROAD,EUR,A,1995,457000000
FIN,INFRAINVEST,ROAD,EUR,A,1996,429000000
FIN,INFRAINVEST,ROAD,EUR,A,1997,436000000
FIN,INFRAINVEST,ROAD,EUR,A,1998,443000000
FIN,INFRAINVEST,ROAD,EUR,A,1999,458000000
FIN,INFRAINVEST,ROAD,EUR,A,2000,488000000
FIN,INFRAINVEST,ROAD,EUR,A,2001,508000000
FIN,INFRAINVEST,ROAD,EUR,A,2002,520000000
FIN,INFRAINVEST,ROAD,EUR,A,2003,533000000
FIN,INFRAINVEST,ROAD,EUR,A,2004,599000000
FIN,INFRAINVEST,ROAD,EUR,A,2005,595000000
FIN,INFRAINVEST,ROAD,EUR,A,2006,650000000
FIN,INFRAINVEST,ROAD,EUR,A,2007,802000000
FIN,INFRAINVEST,ROAD,EUR,A,2008,973000000
FIN,INFRAINVEST,ROAD,EUR,A,2009,922000000
FIN,INFRAINVEST,ROAD,EUR,A,2010,890000000
FIN,INFRAINVEST,ROAD,EUR,A,2011,973000000
FIN,INFRAINVEST,ROAD,EUR,A,2012,1128000000
FIN,INFRAINVEST,ROAD,EUR,A,2013,1148000000
FIN,INFRAINVEST,ROAD,EUR,A,2014,1238000000
FIN,INFRAINVEST,ROAD,EUR,A,2015,1243000000
FIN,INFRAINVEST,ROAD,EUR,A,2016,1178000000
FIN,INFRAINVEST,ROAD,EUR,A,2017,1235000000
FIN,INFRAINVEST,ROAD,EUR,A,2018,1526000000
FIN,INFRAINVEST,ROAD,EUR,A,2019,1522000000
FIN,INFRAINVEST,ROAD,EUR,A,2020,1444000000
FIN,INFRAINVEST,ROAD,EUR,A,2021,1375000000
FRA,INFRAINVEST,ROAD,EUR,A,1995,10805267015
FRA,INFRAINVEST,ROAD,EUR,A,1996,10947662219
FRA,INFRAINVEST,ROAD,EUR,A,1997,10819524890
FRA,INFRAINVEST,ROAD,EUR,A,1998,10532081864
FRA,INFRAINVEST,ROAD,EUR,A,1999,10275291051
FRA,INFRAINVEST,ROAD,EUR,A,2000,10940364409
FRA,INFRAINVEST,ROAD,EUR,A,2001,10920413960
FRA,INFRAINVEST,ROAD,EUR,A,2002,10345177749
FRA,INFRAINVEST,ROAD,EUR,A,2003,10990928004
FRA,INFRAINVEST,ROAD,EUR,A,2004,11526363522
FRA,INFRAINVEST,ROAD,EUR,A,2005,12402058253
FRA,INFRAINVEST,ROAD,EUR,A,2006,12915322777
FRA,INFRAINVEST,ROAD,EUR,A,2007,13883209568
FRA,INFRAINVEST,ROAD,EUR,A,2008,14036319131
FRA,INFRAINVEST,ROAD,EUR,A,2009,14277760990
FRA,INFRAINVEST,ROAD,EUR,A,2010,14497093953
FRA,INFRAINVEST,ROAD,EUR,A,2011,12604291274
FRA,INFRAINVEST,ROAD,EUR,A,2012,13173701531
FRA,INFRAINVEST,ROAD,EUR,A,2013,12866158552
FRA,INFRAINVEST,ROAD,EUR,A,2014,10807203024
FRA,INFRAINVEST,ROAD,EUR,A,2015,10011226322
FRA,INFRAINVEST,ROAD,EUR,A,2016,9216000000
FRA,INFRAINVEST,ROAD,EUR,A,2017,9080000000
FRA,INFRAINVEST,ROAD,EUR,A,2018,9883630000
FRA,INFRAINVEST,ROAD,EUR,A,2019,10413000000
FRA,INFRAINVEST,ROAD,EUR,A,2020,9630572000
FRA,INFRAINVEST,ROAD,EUR,A,2021,10153386000
DEU,INFRAINVEST,ROAD,EUR,A,1995,10216000000
DEU,INFRAINVEST,ROAD,EUR,A,1996,11126000000
DEU,INFRAINVEST,ROAD,EUR,A,1997,10916000000
DEU,INFRAINVEST,ROAD,EUR,A,1998,10850000000
DEU,INFRAINVEST,ROAD,EUR,A,1999,11146000000
DEU,INFRAINVEST,ROAD,EUR,A,2000,11967000000
DEU,INFRAINVEST,ROAD,EUR,A,2001,11558000000
DEU,INFRAINVEST,ROAD,EUR,A,2002,11595000000
DEU,INFRAINVEST,ROAD,EUR,A,2003,10790000000
DEU,INFRAINVEST,ROAD,EUR,A,2004,10710000000
DEU,INFRAINVEST,ROAD,EUR,A,2005,10200000000
DEU,INFRAINVEST,ROAD,EUR,A,2006,10730000000
DEU,INFRAINVEST,ROAD,EUR,A,2007,10845000000
DEU,INFRAINVEST,ROAD,EUR,A,2008,11410000000
DEU,INFRAINVEST,ROAD,EUR,A,2009,12620000000
DEU,INFRAINVEST,ROAD,EUR,A,2010,12250000000
DEU,INFRAINVEST,ROAD,EUR,A,2011,12290000000
DEU,INFRAINVEST,ROAD,EUR,A,2012,11120000000
DEU,INFRAINVEST,ROAD,EUR,A,2013,11390000000
DEU,INFRAINVEST,ROAD,EUR,A,2014,11810000000
DEU,INFRAINVEST,ROAD,EUR,A,2015,11430000000
DEU,INFRAINVEST,ROAD,EUR,A,2016,12090000000
DEU,INFRAINVEST,ROAD,EUR,A,2017,13520000000
DEU,INFRAINVEST,ROAD,EUR,A,2018,15810000000
DEU,INFRAINVEST,ROAD,EUR,A,2019,16750000000
DEU,INFRAINVEST,ROAD,EUR,A,2020,17090000000
DEU,INFRAINVEST,ROAD,EUR,A,2021,16450000000
GRC,INFRAINVEST,ROAD,EUR,A,2000,1402000000
GRC,INFRAINVEST,ROAD,EUR,A,2001,1604000000
GRC,INFRAINVEST,ROAD,EUR,A,2002,1692000000
GRC,INFRAINVEST,ROAD,EUR,A,2003,1636000000
GRC,INFRAINVEST,ROAD,EUR,A,2004,1507000000
GRC,INFRAINVEST,ROAD,EUR,A,2005,1080000000
GRC,INFRAINVEST,ROAD,EUR,A,2006,1392000000
GRC,INFRAINVEST,ROAD,EUR,A,2007,1516000000
GRC,INFRAINVEST,ROAD,EUR,A,2008,1760000000
GRC,INFRAINVEST,ROAD,EUR,A,2009,1791000000
GRC,INFRAINVEST,ROAD,EUR,A,2010,1155277008
GRC,INFRAINVEST,ROAD,EUR,A,2011,1132486646
GRC,INFRAINVEST,ROAD,EUR,A,2012,994576029.8
GRC,INFRAINVEST,ROAD,EUR,A,2013,2036552991
GRC,INFRAINVEST,ROAD,EUR,A,2014,1543220320
GRC,INFRAINVEST,ROAD,EUR,A,2015,1348729715
GRC,INFRAINVEST,ROAD,EUR,A,2016,2187037728
GRC,INFRAINVEST,ROAD,EUR,A,2017,3894932795
GRC,INFRAINVEST,ROAD,EUR,A,2018,2158003344
GRC,INFRAINVEST,ROAD,EUR,A,2019,740871728.9
GRC,INFRAINVEST,ROAD,EUR,A,2020,780984404.2
GRC,INFRAINVEST,ROAD,EUR,A,2021,730716966.2
HUN,INFRAINVEST,ROAD,EUR,A,1995,131084071.5
HUN,INFRAINVEST,ROAD,EUR,A,1996,122846952.3
HUN,INFRAINVEST,ROAD,EUR,A,1997,299210707.7
HUN,INFRAINVEST,ROAD,EUR,A,1998,280473625.9
HUN,INFRAINVEST,ROAD,EUR,A,1999,208516741.7
HUN,INFRAINVEST,ROAD,EUR,A,2000,176594406.2
HUN,INFRAINVEST,ROAD,EUR,A,2001,236922316.8
HUN,INFRAINVEST,ROAD,EUR,A,2002,283669489.2
HUN,INFRAINVEST,ROAD,EUR,A,2003,242685340.2
HUN,INFRAINVEST,ROAD,EUR,A,2004,1426659915
HUN,INFRAINVEST,ROAD,EUR,A,2005,1703158279
HUN,INFRAINVEST,ROAD,EUR,A,2006,583691897.1
HUN,INFRAINVEST,ROAD,EUR,A,2007,645917032
HUN,INFRAINVEST,ROAD,EUR,A,2008,977883708.2
HUN,INFRAINVEST,ROAD,EUR,A,2009,1565229294
HUN,INFRAINVEST,ROAD,EUR,A,2010,840161143.7
HUN,INFRAINVEST,ROAD,EUR,A,2011,298023701.3
HUN,INFRAINVEST,ROAD,EUR,A,2012,152652284.2
HUN,INFRAINVEST,ROAD,EUR,A,2013,400571427
HUN,INFRAINVEST,ROAD,EUR,A,2014,1238414974
HUN,INFRAINVEST,ROAD,EUR,A,2015,1247677055
HUN,INFRAINVEST,ROAD,EUR,A,2016,802745135.8
HUN,INFRAINVEST,ROAD,EUR,A,2017,1280382187
HUN,INFRAINVEST,ROAD,EUR,A,2018,1780313937
HUN,INFRAINVEST,ROAD,EUR,A,2019,2288587059
HUN,INFRAINVEST,ROAD,EUR,A,2020,1820222428
HUN,INFRAINVEST,ROAD,EUR,A,2021,1894279008
ISL,INFRAINVEST,ROAD,EUR,A,1995,74632329.5
ISL,INFRAINVEST,ROAD,EUR,A,1996,69017662
ISL,INFRAINVEST,ROAD,EUR,A,1997,81393166.65
ISL,INFRAINVEST,ROAD,EUR,A,1998,139738320.1
ISL,INFRAINVEST,ROAD,EUR,A,1999,109743456.9
ISL,INFRAINVEST,ROAD,EUR,A,2000,129296512.9
ISL,INFRAINVEST,ROAD,EUR,A,2001,109188715.5
ISL,INFRAINVEST,ROAD,EUR,A,2002,123186943
ISL,INFRAINVEST,ROAD,EUR,A,2003,171021196.7
ISL,INFRAINVEST,ROAD,EUR,A,2004,142935325.7
ISL,INFRAINVEST,ROAD,EUR,A,2005,151346681.3
ISL,INFRAINVEST,ROAD,EUR,A,2006,210440490.2
ISL,INFRAINVEST,ROAD,EUR,A,2007,186583208.5
ISL,INFRAINVEST,ROAD,EUR,A,2008,244091489.2
ISL,INFRAINVEST,ROAD,EUR,A,2009,120924592
ISL,INFRAINVEST,ROAD,EUR,A,2010,79345111.46
ISL,INFRAINVEST,ROAD,EUR,A,2011,38715663.15
ISL,INFRAINVEST,ROAD,EUR,A,2012,37911481.88
ISL,INFRAINVEST,ROAD,EUR,A,2013,41829738.36
ISL,INFRAINVEST,ROAD,EUR,A,2014,45289831.68
ISL,INFRAINVEST,ROAD,EUR,A,2015,67402002.65
ISL,INFRAINVEST,ROAD,EUR,A,2016,74669206.22
ISL,INFRAINVEST,ROAD,EUR,A,2017,91030934.25
ISL,INFRAINVEST,ROAD,EUR,A,2018,99867495.94
ISL,INFRAINVEST,ROAD,EUR,A,2019,91695767.7
ISL,INFRAINVEST,ROAD,EUR,A,2020,107252605.6
ISL,INFRAINVEST,ROAD,EUR,A,2021,104314547.7
IRL,INFRAINVEST,ROAD,EUR,A,1995,283000000
IRL,INFRAINVEST,ROAD,EUR,A,1996,281000000
IRL,INFRAINVEST,ROAD,EUR,A,1997,473000000
IRL,INFRAINVEST,ROAD,EUR,A,1998,547000000
IRL,INFRAINVEST,ROAD,EUR,A,1999,742000000
IRL,INFRAINVEST,ROAD,EUR,A,2000,893000000
IRL,INFRAINVEST,ROAD,EUR,A,2001,1228000000
IRL,INFRAINVEST,ROAD,EUR,A,2002,1430000000
IRL,INFRAINVEST,ROAD,EUR,A,2003,1516000000
IRL,INFRAINVEST,ROAD,EUR,A,2004,1562000000
IRL,INFRAINVEST,ROAD,EUR,A,2005,1662000000
IRL,INFRAINVEST,ROAD,EUR,A,2006,2019000000
IRL,INFRAINVEST,ROAD,EUR,A,2007,2191000000
IRL,INFRAINVEST,ROAD,EUR,A,2008,2069000000
IRL,INFRAINVEST,ROAD,EUR,A,2009,1769000000
IRL,INFRAINVEST,ROAD,EUR,A,2010,1414000000
IRL,INFRAINVEST,ROAD,EUR,A,2011,1017000000
IRL,INFRAINVEST,ROAD,EUR,A,2012,886000000
IRL,INFRAINVEST,ROAD,EUR,A,2013,594000000
IRL,INFRAINVEST,ROAD,EUR,A,2014,638000000
IRL,INFRAINVEST,ROAD,EUR,A,2015,612000000
IRL,INFRAINVEST,ROAD,EUR,A,2016,622000000
IRL,INFRAINVEST,ROAD,EUR,A,2017,547000000
IRL,INFRAINVEST,ROAD,EUR,A,2018,693000000
IRL,INFRAINVEST,ROAD,EUR,A,2019,837000000
ITA,INFRAINVEST,ROAD,EUR,A,1995,4980000000
ITA,INFRAINVEST,ROAD,EUR,A,1996,5052000000
ITA,INFRAINVEST,ROAD,EUR,A,1997,5144000000
ITA,INFRAINVEST,ROAD,EUR,A,1998,6258000000
ITA,INFRAINVEST,ROAD,EUR,A,1999,6365000000
ITA,INFRAINVEST,ROAD,EUR,A,2000,6930000000
ITA,INFRAINVEST,ROAD,EUR,A,2001,4582000000
ITA,INFRAINVEST,ROAD,EUR,A,2002,5071000000
ITA,INFRAINVEST,ROAD,EUR,A,2003,6874000000
ITA,INFRAINVEST,ROAD,EUR,A,2004,7572000000
ITA,INFRAINVEST,ROAD,EUR,A,2005,9169000000
ITA,INFRAINVEST,ROAD,EUR,A,2006,14280000000
ITA,INFRAINVEST,ROAD,EUR,A,2007,13664000000
ITA,INFRAINVEST,ROAD,EUR,A,2008,13051000000
ITA,INFRAINVEST,ROAD,EUR,A,2009,5641000000
ITA,INFRAINVEST,ROAD,EUR,A,2010,3389000000
ITA,INFRAINVEST,ROAD,EUR,A,2011,4129000000
ITA,INFRAINVEST,ROAD,EUR,A,2012,3107000000
ITA,INFRAINVEST,ROAD,EUR,A,2013,2841000000
ITA,INFRAINVEST,ROAD,EUR,A,2014,3860000000
ITA,INFRAINVEST,ROAD,EUR,A,2015,5151000000
ITA,INFRAINVEST,ROAD,EUR,A,2016,3755000000
ITA,INFRAINVEST,ROAD,EUR,A,2017,3409000000
ITA,INFRAINVEST,ROAD,EUR,A,2018,6555000000
ITA,INFRAINVEST,ROAD,EUR,A,2019,4310000000
ITA,INFRAINVEST,ROAD,EUR,A,2020,4393000000
JPN,INFRAINVEST,ROAD,EUR,A,1995,71565750817
JPN,INFRAINVEST,ROAD,EUR,A,1996,62594079548
JPN,INFRAINVEST,ROAD,EUR,A,1997,60879066030
JPN,INFRAINVEST,ROAD,EUR,A,1998,60361391127
JPN,INFRAINVEST,ROAD,EUR,A,1999,69794503671
JPN,INFRAINVEST,ROAD,EUR,A,2000,79312039934
JPN,INFRAINVEST,ROAD,EUR,A,2001,67569403219
JPN,INFRAINVEST,ROAD,EUR,A,2002,59914977217
JPN,INFRAINVEST,ROAD,EUR,A,2003,49863540972
JPN,INFRAINVEST,ROAD,EUR,A,2004,43272246849
JPN,INFRAINVEST,ROAD,EUR,A,2005,40059037917
JPN,INFRAINVEST,ROAD,EUR,A,2006,36602006737
JPN,INFRAINVEST,ROAD,EUR,A,2007,31561476386
JPN,INFRAINVEST,ROAD,EUR,A,2008,31870349621
JPN,INFRAINVEST,ROAD,EUR,A,2009,37206998936
JPN,INFRAINVEST,ROAD,EUR,A,2010,35766258465
JPN,INFRAINVEST,ROAD,EUR,A,2011,35812517049
JPN,INFRAINVEST,ROAD,EUR,A,2012,37300772096
JPN,INFRAINVEST,ROAD,EUR,A,2013,33129221998
JPN,INFRAINVEST,ROAD,EUR,A,2014,29639781729
JPN,INFRAINVEST,ROAD,EUR,A,2015,28143419695
JPN,INFRAINVEST,ROAD,EUR,A,2016,32575953058
JPN,INFRAINVEST,ROAD,EUR,A,2017,31577903148
JPN,INFRAINVEST,ROAD,EUR,A,2018,30027258171
JPN,INFRAINVEST,ROAD,EUR,A,2019,32829904574
KOR,INFRAINVEST,ROAD,EUR,A,2001,7162739887
KOR,INFRAINVEST,ROAD,EUR,A,2002,6864863198
KOR,INFRAINVEST,ROAD,EUR,A,2003,6704578510
KOR,INFRAINVEST,ROAD,EUR,A,2004,5662792671
KOR,INFRAINVEST,ROAD,EUR,A,2005,6018100712
KOR,INFRAINVEST,ROAD,EUR,A,2006,6118036060
KOR,INFRAINVEST,ROAD,EUR,A,2007,5918547553
KOR,INFRAINVEST,ROAD,EUR,A,2008,10927048334
KOR,INFRAINVEST,ROAD,EUR,A,2009,12185674712
KOR,INFRAINVEST,ROAD,EUR,A,2010,10787682604
KOR,INFRAINVEST,ROAD,EUR,A,2011,9244070290
KOR,INFRAINVEST,ROAD,EUR,A,2012,10777465699
KOR,INFRAINVEST,ROAD,EUR,A,2013,11335842791
KOR,INFRAINVEST,ROAD,EUR,A,2014,10905832226
KOR,INFRAINVEST,ROAD,EUR,A,2015,13176630670
KOR,INFRAINVEST,ROAD,EUR,A,2016,12571279346
KOR,INFRAINVEST,ROAD,EUR,A,2017,13022712336
KOR,INFRAINVEST,ROAD,EUR,A,2018,12123858621
KOR,INFRAINVEST,ROAD,EUR,A,2019,13205445721
LUX,INFRAINVEST,ROAD,EUR,A,1995,113741290.8
LUX,INFRAINVEST,ROAD,EUR,A,1996,107367648.4
LUX,INFRAINVEST,ROAD,EUR,A,1997,101302475.4
LUX,INFRAINVEST,ROAD,EUR,A,1998,112559210.7
LUX,INFRAINVEST,ROAD,EUR,A,1999,145516901.8
LUX,INFRAINVEST,ROAD,EUR,A,2000,166020801.2
LUX,INFRAINVEST,ROAD,EUR,A,2001,185872400.7
LUX,INFRAINVEST,ROAD,EUR,A,2002,212893775.4
LUX,INFRAINVEST,ROAD,EUR,A,2003,188405582
LUX,INFRAINVEST,ROAD,EUR,A,2004,135202789.9
LUX,INFRAINVEST,ROAD,EUR,A,2005,127657001.7
LUX,INFRAINVEST,ROAD,EUR,A,2006,175887339.7
LUX,INFRAINVEST,ROAD,EUR,A,2007,157402016.9
LUX,INFRAINVEST,ROAD,EUR,A,2008,137772604.6
LUX,INFRAINVEST,ROAD,EUR,A,2009,148466156.5
LUX,INFRAINVEST,ROAD,EUR,A,2010,182571021.3
LUX,INFRAINVEST,ROAD,EUR,A,2011,221976449.3
LUX,INFRAINVEST,ROAD,EUR,A,2012,213399365
LUX,INFRAINVEST,ROAD,EUR,A,2013,219297195.6
LUX,INFRAINVEST,ROAD,EUR,A,2014,213745153.8
LUX,INFRAINVEST,ROAD,EUR,A,2015,226217136.5
LUX,INFRAINVEST,ROAD,EUR,A,2016,213537152.4
LUX,INFRAINVEST,ROAD,EUR,A,2017,225577736
LUX,INFRAINVEST,ROAD,EUR,A,2018,188596003.5
LUX,INFRAINVEST,ROAD,EUR,A,2019,260016912.7
